RUN	Gatling.ConfigureGatling	configuregatling	1733907600654	 	3.9.0
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
ERROR	No baseUrl defined but provided url is relative : /: Failed to build request: Get Paging 	1733907601559
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	START	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
USER	Test Gatling	END	1733907601570
